Vehicle_ID,Start_Frame,End_Frame,Max_Displacement,Duration_Frames,From_Lane,To_Lane
27,66,107,5.711000000000002,42,2,1
33,89,155,7.785,67,2,1
77,347,392,2.7680000000000007,46,3,ramp
98,482,548,2.746000000000002,67,3,ramp
108,577,628,2.799999999999997,52,3,ramp
109,602,641,3.195999999999998,40,3,ramp
111,614,671,2.488999999999997,58,3,ramp
118,676,729,2.061,54,3,ramp
207,1284,1323,2.1069999999999993,40,3,ramp
233,1483,1538,2.5180000000000007,56,3,ramp
303,2006,2048,3.189,43,3,ramp
308,2012,2080,0.9819999999999993,69,3,ramp
376,2481,2541,2.8830000000000027,61,3,ramp
433,2959,3001,2.460000000000001,43,3,ramp
447,3105,3154,2.4169999999999945,50,3,ramp
451,3160,3202,0.945999999999998,43,3,ramp
462,3175,3223,2.728999999999999,49,3,ramp
505,3445,3478,1.0320000000000036,34,3,ramp
510,3460,3505,2.636000000000003,46,3,ramp
519,3509,3551,2.016999999999996,43,3,ramp
559,3790,3832,2.7139999999999986,43,3,ramp
575,4058,4119,9.738999999999997,62,3,1
576,3881,3919,1.3470000000000013,39,3,ramp
578,4076,4136,8.224999999999998,61,3,1
597,4252,4295,5.939,44,3,1
600,4267,4322,7.388999999999999,56,3,1
607,4302,4336,4.6030000000000015,35,2,1
608,4306,4354,6.118000000000002,49,3,1
615,4138,4192,3.2319999999999993,55,3,ramp
619,4379,4443,8.317999999999998,65,3,1
637,4647,4668,3.767999999999997,22,2,1
