Vehicle_ID,Start_Frame,End_Frame,Max_Displacement,Duration_Frames,From_Lane,To_Lane,Lane_Path
27,66,73,0.843,8,2,1,2->1
33,89,108,2.6459999999999972,20,2,1,2->1
575,4058,4085,3.7959999999999994,28,3,2,3->2
575,4085,4104,3.2079999999999984,20,2,1,2->1
578,4076,4108,3.8599999999999994,33,3,2,3->2
578,4108,4131,3.3900000000000006,24,2,1,2->1
597,4252,4269,2.086000000000002,18,3,2,3->2
597,4269,4292,3.3850000000000016,24,2,1,2->1
600,4267,4290,2.8249999999999993,24,3,2,3->2
600,4290,4313,3.275000000000002,24,2,1,2->1
607,4302,4326,3.1209999999999987,25,2,1,2->1
608,4306,4322,1.8290000000000042,17,3,2,3->2
608,4322,4348,3.375,27,2,1,2->1
619,4379,4395,1.679000000000002,17,3,2,3->2
619,4395,4421,3.3389999999999986,27,2,1,2->1
637,4647,4660,2.2429999999999986,14,2,1,2->1
